tigrfam	mainrole	sub1role
TIGR02358	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR00742	Protein synthesis	tRNA and rRNA base modification
TIGR00605	DNA metabolism	DNA replication, recombination, and repair
TIGR03447	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR02578	Unknown	Unknown
TIGR03067	Unknown function	General
TIGR03461	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR03038	Energy metabolism	Photosynthesis
TIGR00611	DNA metabolism	DNA replication, recombination, and repair
TIGR00208	Cellular processes	Chemotaxis and motility
TIGR02488	Cellular processes	Chemotaxis and motility
TIGR02651	Transcription	RNA processing
TIGR02776	DNA metabolism	DNA replication, recombination, and repair
TIGR01424	Energy metabolism	Electron transport
TIGR01022	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01913	Mobile and extrachromosomal element functions	Prophage functions
TIGR01063	DNA metabolism	DNA replication, recombination, and repair
TIGR03892	Cellular processes	Toxin production and resistance
TIGR00982	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02897	Energy metabolism	Electron transport
TIGR04111	Mobile and extrachromosomal element functions	Prophage functions
TIGR01573	Unknown	Unknown
TIGR03842	Unknown function	Enzymes of unknown specificity
TIGR01700	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR03759	Mobile and extrachromosomal element functions	Plasmid functions
TIGR01798	Energy metabolism	TCA cycle
TIGR02538	Cell envelope	Surface structures
TIGR00219	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01903	Unknown	Unknown
TIGR03593	Protein fate	Protein and peptide secretion and trafficking
TIGR03699	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR01270	Energy metabolism	Amino acids and amines
TIGR01306	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR02143	Protein synthesis	tRNA and rRNA base modification
TIGR00983	Transport and binding proteins	Amino acids, peptides and amines
TIGR01156	Energy metabolism	Electron transport
TIGR02357	Transport and binding proteins	Other
TIGR03578	Hypothetical proteins	Conserved
TIGR02968	Energy metabolism	TCA cycle
TIGR04152	Protein fate	Protein and peptide secretion and trafficking
TIGR00615	DNA metabolism	DNA replication, recombination, and repair
TIGR01848	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02932	Central intermediary metabolism	Nitrogen fixation
TIGR00665	DNA metabolism	DNA replication, recombination, and repair
TIGR01818	Central intermediary metabolism	Nitrogen metabolism
TIGR02277	Regulatory functions	DNA interactions
TIGR02640	Cellular processes	Other
TIGR04428	Cellular processes	Toxin production and resistance
TIGR02946	Unknown function	Enzymes of unknown specificity
TIGR00462	Unknown function	General
TIGR01578	Protein synthesis	tRNA and rRNA base modification
TIGR02680	Hypothetical proteins	Conserved
TIGR01462	Transcription	Transcription factors
TIGR03650	Cellular processes	Toxin production and resistance
TIGR00623	DNA metabolism	DNA replication, recombination, and repair
TIGR01303	Unknown function	General
TIGR01066	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01923	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR03795	Cellular processes	Biosynthesis of natural products
TIGR00064	Protein fate	Protein and peptide secretion and trafficking
TIGR00758	DNA metabolism	DNA replication, recombination, and repair
TIGR00730	Hypothetical proteins	Conserved
TIGR01968	Cellular processes	Cell division
TIGR00943	Transport and binding proteins	Cations and iron carrying compounds
TIGR01106	Energy metabolism	ATP-proton motive force interconversion
TIGR01321	Amino acid biosynthesis	Aromatic amino acid family
TIGR02151	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR03693	Cellular processes	Toxin production and resistance
TIGR04075	Transcription	RNA processing
TIGR00504	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01129	Protein fate	Protein and peptide secretion and trafficking
TIGR01704	Central intermediary metabolism	Other
TIGR03236	DNA metabolism	Restriction/modification
TIGR00590	DNA metabolism	DNA replication, recombination, and repair
TIGR02924	Energy metabolism	TCA cycle
TIGR02006	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01694	Central intermediary metabolism	Other
TIGR02509	Cellular processes	Pathogenesis
TIGR02016	Energy metabolism	Photosynthesis
TIGR02606	Cellular processes	Other
TIGR00619	DNA metabolism	DNA replication, recombination, and repair
TIGR01990	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR03958	Protein fate	Protein modification and repair
TIGR01107	Transport and binding proteins	Cations and iron carrying compounds
TIGR02109	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00980	Transport and binding proteins	Amino acids, peptides and amines
TIGR03291	Energy metabolism	Methanogenesis
TIGR03396	Cellular processes	Pathogenesis
TIGR03624	Unknown function	General
TIGR01564	Cell envelope	Surface structures
TIGR00402	Energy metabolism	Electron transport
TIGR02883	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02904	Cellular processes	Sporulation and germination
TIGR03259	Energy metabolism	Methanogenesis
TIGR03115	Unknown	Unknown
TIGR01538	Mobile and extrachromosomal element functions	Prophage functions
TIGR02586	Unknown	Unknown
TIGR02612	Unknown function	General
TIGR00204	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00790	Transport and binding proteins	Anions
TIGR01352	Transport and binding proteins	Cations and iron carrying compounds
TIGR01046	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00077	Protein fate	Protein and peptide secretion and trafficking
TIGR00958	Transport and binding proteins	Other
TIGR01666	Cell envelope	Other
TIGR01809	Amino acid biosynthesis	Aromatic amino acid family
TIGR03044	Energy metabolism	Photosynthesis
TIGR00905	Transport and binding proteins	Amino acids, peptides and amines
TIGR02797	Transport and binding proteins	Cations and iron carrying compounds
TIGR01232	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR03181	Energy metabolism	Pyruvate dehydrogenase
TIGR00637	Regulatory functions	Other
TIGR01795	Amino acid biosynthesis	Aromatic amino acid family
TIGR00791	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04062	DNA metabolism	Restriction/modification
TIGR04018	Unknown function	Enzymes of unknown specificity
TIGR00161	Hypothetical proteins	Conserved
TIGR01982	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR00534	Protein fate	Protein folding and stabilization
TIGR00012	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00244	Regulatory functions	DNA interactions
TIGR03634	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00639	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR02716	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR00324	Transcription	RNA processing
TIGR01261	Amino acid biosynthesis	Histidine family
TIGR00011	Protein synthesis	tRNA aminoacylation
TIGR01191	Protein fate	Protein and peptide secretion and trafficking
TIGR00084	DNA metabolism	DNA replication, recombination, and repair
TIGR01983	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR02821	Cellular processes	Detoxification
TIGR00260	Amino acid biosynthesis	Aspartate family
TIGR00845	Transport and binding proteins	Other
TIGR00119	Amino acid biosynthesis	Pyruvate family
TIGR00973	Amino acid biosynthesis	Pyruvate family
TIGR00760	Energy metabolism	Sugars
TIGR00139	Amino acid biosynthesis	Aspartate family
TIGR00731	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00586	DNA metabolism	DNA replication, recombination, and repair
TIGR02671	Unknown	Unknown
TIGR04570	Unknown function	General
TIGR00750	Transport and binding proteins	Amino acids, peptides and amines
TIGR00038	Protein synthesis	Translation factors
TIGR00267	Hypothetical proteins	Conserved
TIGR02356	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR03283	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR03372	Central intermediary metabolism	Polyamine biosynthesis
TIGR03487	Unknown	Unknown
TIGR01027	Amino acid biosynthesis	Glutamate family
TIGR02832	Cellular processes	Sporulation and germination
TIGR01237	Energy metabolism	Amino acids and amines
TIGR01331	Central intermediary metabolism	Sulfur metabolism
TIGR02197	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01004	Transport and binding proteins	Amino acids, peptides and amines
TIGR01796	Amino acid biosynthesis	Aromatic amino acid family
TIGR02209	Cellular processes	Cell division
TIGR01873	Unknown	Unknown
TIGR00985	Transport and binding proteins	Amino acids, peptides and amines
TIGR04177	Protein fate	Protein and peptide secretion and trafficking
TIGR01662	Unknown function	Enzymes of unknown specificity
TIGR00249	Regulatory functions	Protein interactions
TIGR00135	Protein synthesis	tRNA aminoacylation
TIGR02919	Protein fate	Protein modification and repair
TIGR00159	Hypothetical proteins	Conserved
TIGR00313	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03583	Hypothetical proteins	Conserved
TIGR02695	Energy metabolism	Electron transport
TIGR00027	Unknown function	Enzymes of unknown specificity
TIGR01520	Energy metabolism	Glycolysis/gluconeogenesis
TIGR04559	Unknown function	Enzymes of unknown specificity
TIGR00822	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03905	Unknown function	General
TIGR02150	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01651	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02715	Unknown function	Enzymes of unknown specificity
TIGR02863	Cellular processes	Sporulation and germination
TIGR02890	Unknown function	General
TIGR03844	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01039	Energy metabolism	ATP-proton motive force interconversion
TIGR00282	Unknown function	Enzymes of unknown specificity
TIGR01286	Central intermediary metabolism	Nitrogen fixation
TIGR01435	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR01641	Mobile and extrachromosomal element functions	Prophage functions
TIGR02351	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR02533	Protein fate	Protein and peptide secretion and trafficking
TIGR02847	Energy metabolism	Electron transport
TIGR00852	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03225	Energy metabolism	Other
TIGR02844	Regulatory functions	DNA interactions
TIGR00295	Hypothetical proteins	Conserved
TIGR00873	Energy metabolism	Pentose phosphate pathway
TIGR00696	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02138	Transport and binding proteins	Anions
TIGR02454	Transport and binding proteins	Cations and iron carrying compounds
TIGR02389	Transcription	DNA-dependent RNA polymerase
TIGR01819	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR04422	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02437	Fatty acid and phospholipid metabolism	Degradation
TIGR00512	Amino acid biosynthesis	Aspartate family
TIGR00232	Energy metabolism	Pentose phosphate pathway
TIGR02975	Cellular processes	Adaptations to atypical conditions
TIGR01972	Energy metabolism	Electron transport
TIGR00306	Energy metabolism	Glycolysis/gluconeogenesis
TIGR02841	Cellular processes	Sporulation and germination
TIGR01530	Transport and binding proteins	Other
TIGR02854	Cellular processes	Sporulation and germination
TIGR03174	Unknown	Unknown
TIGR03921	Protein fate	Protein and peptide secretion and trafficking
TIGR01128	DNA metabolism	DNA replication, recombination, and repair
TIGR02827	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR00408	Protein synthesis	tRNA aminoacylation
TIGR01395	Cellular processes	Chemotaxis and motility
TIGR00569	DNA metabolism	DNA replication, recombination, and repair
TIGR01263	Energy metabolism	Amino acids and amines
TIGR00577	DNA metabolism	DNA replication, recombination, and repair
TIGR02861	Cellular processes	Sporulation and germination
TIGR01891	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR02673	Cellular processes	Cell division
TIGR00627	DNA metabolism	DNA replication, recombination, and repair
TIGR02110	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01253	Transport and binding proteins	Other
TIGR00380	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01669	Mobile and extrachromosomal element functions	Prophage functions
TIGR00703	Hypothetical proteins	Conserved
TIGR03980	Energy metabolism	Electron transport
TIGR00492	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02629	Energy metabolism	Sugars
TIGR00240	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00485	Protein synthesis	Translation factors
TIGR01125	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR03947	Cellular processes	Biosynthesis of natural products
TIGR01259	Cellular processes	DNA transformation
TIGR02500	Protein fate	Protein and peptide secretion and trafficking
TIGR01778	Transport and binding proteins	Cations and iron carrying compounds
TIGR01693	Central intermediary metabolism	Nitrogen metabolism
TIGR02830	Cellular processes	Sporulation and germination
TIGR01975	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00859	Transport and binding proteins	Cations and iron carrying compounds
TIGR01821	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02145	Cell envelope	Other
TIGR03619	Unknown function	Enzymes of unknown specificity
TIGR02945	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00051	Unknown function	General
TIGR00491	Protein synthesis	Translation factors
TIGR03261	Transport and binding proteins	Amino acids, peptides and amines
TIGR03070	Regulatory functions	DNA interactions
TIGR00673	Cellular processes	Detoxification
TIGR03011	Protein synthesis	tRNA and rRNA base modification
TIGR00385	Protein fate	Protein folding and stabilization
TIGR03076	Unknown function	General
TIGR03284	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR00300	Hypothetical proteins	Conserved
TIGR01188	Transport and binding proteins	Other
TIGR00603	DNA metabolism	DNA replication, recombination, and repair
TIGR01947	Energy metabolism	Electron transport
TIGR00628	DNA metabolism	DNA replication, recombination, and repair
TIGR01797	Amino acid biosynthesis	Aromatic amino acid family
TIGR00658	Amino acid biosynthesis	Glutamate family
TIGR01121	Energy metabolism	Amino acids and amines
TIGR02546	Protein fate	Protein and peptide secretion and trafficking
TIGR02872	Cellular processes	Sporulation and germination
TIGR03241	Energy metabolism	Amino acids and amines
TIGR00392	Protein synthesis	tRNA aminoacylation
TIGR01655	Hypothetical proteins	Conserved
TIGR03912	Protein synthesis	tRNA aminoacylation
TIGR03176	Central intermediary metabolism	Nitrogen metabolism
TIGR03477	Energy metabolism	Electron transport
TIGR01097	Transport and binding proteins	Anions
TIGR00438	Protein synthesis	tRNA and rRNA base modification
TIGR00776	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00724	Unknown function	General
TIGR00630	DNA metabolism	DNA replication, recombination, and repair
TIGR01764	Unknown function	General
TIGR03801	Energy metabolism	Amino acids and amines
TIGR01984	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR04001	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR02718	Transport and binding proteins	Cations and iron carrying compounds
TIGR02111	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00052	Unknown function	Enzymes of unknown specificity
TIGR02503	Protein fate	Protein folding and stabilization
TIGR00168	Protein synthesis	Translation factors
TIGR02903	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR02440	Fatty acid and phospholipid metabolism	Degradation
TIGR00808	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01791	Amino acid biosynthesis	Aromatic amino acid family
TIGR01980	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01421	Energy metabolism	Electron transport
TIGR01211	Transcription	DNA-dependent RNA polymerase
TIGR02851	Regulatory functions	DNA interactions
TIGR00937	Transport and binding proteins	Anions
TIGR03381	Central intermediary metabolism	Polyamine biosynthesis
TIGR04024	Unknown function	Enzymes of unknown specificity
TIGR03556	DNA metabolism	DNA replication, recombination, and repair
TIGR03015	Protein fate	Protein and peptide secretion and trafficking
TIGR03986	Unknown	Unknown
TIGR02973	Energy metabolism	Anaerobic
TIGR01531	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01181	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02849	Cellular processes	Sporulation and germination
TIGR01104	Transport and binding proteins	Cations and iron carrying compounds
TIGR02100	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01198	Energy metabolism	Pentose phosphate pathway
TIGR01846	Protein fate	Protein and peptide secretion and trafficking
TIGR02831	Cellular processes	Sporulation and germination
TIGR02899	Cellular processes	Sporulation and germination
TIGR00997	Cellular processes	Cell division
TIGR02713	Central intermediary metabolism	Nitrogen metabolism
TIGR02510	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02532	Cell envelope	Surface structures
TIGR04526	Cellular processes	Pathogenesis
TIGR02653	Hypothetical proteins	Conserved
TIGR01807	Amino acid biosynthesis	Aromatic amino acid family
TIGR01355	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR01323	Energy metabolism	Amino acids and amines
TIGR01970	Unknown function	Enzymes of unknown specificity
TIGR01899	Unknown	Unknown
TIGR00543	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR02030	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR03344	Cellular processes	Pathogenesis
TIGR01058	DNA metabolism	DNA replication, recombination, and repair
TIGR02916	Protein fate	Protein and peptide secretion and trafficking
TIGR02024	Energy metabolism	Amino acids and amines
TIGR01534	Energy metabolism	Glycolysis/gluconeogenesis
TIGR01637	Mobile and extrachromosomal element functions	Prophage functions
TIGR00751	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR03135	Energy metabolism	Other
TIGR00193	Central intermediary metabolism	Nitrogen metabolism
TIGR04524	Cellular processes	Pathogenesis
TIGR00440	Protein synthesis	tRNA aminoacylation
TIGR01082	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR03872	Energy metabolism	Electron transport
TIGR02812	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR03056	Energy metabolism	Photosynthesis
TIGR01012	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01928	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR02599	Cell envelope	Surface structures
TIGR00976	Unknown function	Enzymes of unknown specificity
TIGR03253	Cellular processes	Detoxification
TIGR03414	Transport and binding proteins	Amino acids, peptides and amines
TIGR02769	Transport and binding proteins	Cations and iron carrying compounds
TIGR02155	Energy metabolism	Other
TIGR00913	Transport and binding proteins	Amino acids, peptides and amines
TIGR01093	Amino acid biosynthesis	Aromatic amino acid family
TIGR01216	Energy metabolism	ATP-proton motive force interconversion
TIGR02548	Unknown	Unknown
TIGR00238	Cellular processes	Adaptations to atypical conditions
TIGR00365	Energy metabolism	Electron transport
TIGR00811	Transport and binding proteins	Other
TIGR00741	Protein synthesis	Translation factors
TIGR02818	Cellular processes	Detoxification
TIGR01820	Amino acid biosynthesis	Aromatic amino acid family
TIGR00118	Amino acid biosynthesis	Pyruvate family
TIGR00216	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00376	DNA metabolism	DNA replication, recombination, and repair
TIGR01184	Transport and binding proteins	Anions
TIGR02505	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02905	Cellular processes	Sporulation and germination
TIGR01227	Energy metabolism	Amino acids and amines
TIGR01153	Energy metabolism	Electron transport
TIGR02160	Energy metabolism	Other
TIGR03391	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01391	DNA metabolism	DNA replication, recombination, and repair
TIGR00830	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03263	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR01673	Mobile and extrachromosomal element functions	Prophage functions
TIGR00423	Hypothetical proteins	Conserved
TIGR01123	Amino acid biosynthesis	Pyruvate family
TIGR00600	DNA metabolism	DNA replication, recombination, and repair
TIGR02678	Hypothetical proteins	Conserved
TIGR02888	Cellular processes	Sporulation and germination
TIGR00814	Transport and binding proteins	Amino acids, peptides and amines
TIGR04416	Mobile and extrachromosomal element functions	Other
TIGR02027	Transcription	DNA-dependent RNA polymerase
TIGR00781	Energy metabolism	Electron transport
TIGR04068	Cellular processes	Toxin production and resistance
TIGR02970	Energy metabolism	TCA cycle
TIGR01133	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01806	Amino acid biosynthesis	Aromatic amino acid family
TIGR02643	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR02928	DNA metabolism	DNA replication, recombination, and repair
TIGR00055	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01911	Unknown function	General
TIGR00743	Hypothetical proteins	Conserved
TIGR01426	Cellular processes	Toxin production and resistance
TIGR01040	Transport and binding proteins	Cations and iron carrying compounds
TIGR00334	Transcription	RNA processing
TIGR01290	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02920	Protein fate	Protein and peptide secretion and trafficking
TIGR00757	Transcription	Degradation of RNA
TIGR04560	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00132	Protein synthesis	tRNA aminoacylation
TIGR00557	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR01083	DNA metabolism	DNA replication, recombination, and repair
TIGR00233	Protein synthesis	tRNA aminoacylation
TIGR00467	Protein synthesis	tRNA aminoacylation
TIGR00659	Hypothetical proteins	Conserved
TIGR03701	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR02147	Hypothetical proteins	Conserved
TIGR01309	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00585	DNA metabolism	DNA replication, recombination, and repair
TIGR02796	Transport and binding proteins	Other
TIGR03913	Unknown function	Enzymes of unknown specificity
TIGR00033	Amino acid biosynthesis	Aromatic amino acid family
TIGR01087	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR03032	Hypothetical proteins	Conserved
TIGR02853	Cellular processes	Sporulation and germination
TIGR02682	Unknown	Unknown
TIGR01312	Energy metabolism	Sugars
TIGR01264	Energy metabolism	Amino acids and amines
TIGR00314	Energy metabolism	Chemoautotrophy
TIGR04408	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01696	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR03749	Mobile and extrachromosomal element functions	Plasmid functions
TIGR02211	Protein fate	Protein and peptide secretion and trafficking
TIGR01938	Transport and binding proteins	Cations and iron carrying compounds
TIGR02477	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00350	Regulatory functions	Other
TIGR02531	Unknown function	General
TIGR01056	DNA metabolism	DNA replication, recombination, and repair
TIGR01747	Energy metabolism	Other
TIGR01868	Unknown	Unknown
TIGR01007	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01497	Transport and binding proteins	Cations and iron carrying compounds
TIGR01822	Energy metabolism	Amino acids and amines
TIGR03375	Protein fate	Protein and peptide secretion and trafficking
TIGR00114	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR02656	Energy metabolism	Electron transport
TIGR02611	Hypothetical proteins	Conserved
TIGR00826	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03626	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00832	Cellular processes	Detoxification
TIGR02859	Transcription	Transcription factors
TIGR01324	Amino acid biosynthesis	Aspartate family
TIGR03419	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02282	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00121	Protein fate	Protein modification and repair
TIGR01420	Cell envelope	Surface structures
TIGR02142	Transport and binding proteins	Anions
TIGR00450	Protein synthesis	tRNA and rRNA base modification
TIGR01736	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00934	Transport and binding proteins	Cations and iron carrying compounds
TIGR01621	Protein synthesis	tRNA and rRNA base modification
TIGR00209	Energy metabolism	Sugars
TIGR02406	Cellular processes	Adaptations to atypical conditions
TIGR02129	Amino acid biosynthesis	Histidine family
TIGR01236	Energy metabolism	Amino acids and amines
TIGR03940	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01527	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR01201	DNA metabolism	Chromosome-associated proteins
TIGR00692	Energy metabolism	Amino acids and amines
TIGR02178	Protein synthesis	Translation factors
TIGR03156	Unknown function	General
TIGR02490	Cellular processes	Chemotaxis and motility
TIGR00026	Unknown function	Enzymes of unknown specificity
TIGR02800	Transport and binding proteins	Other
TIGR02066	Central intermediary metabolism	Sulfur metabolism
TIGR01973	Energy metabolism	Electron transport
TIGR01361	Amino acid biosynthesis	Aromatic amino acid family
TIGR00695	Energy metabolism	Sugars
TIGR02072	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR00967	Protein fate	Protein and peptide secretion and trafficking
TIGR02650	Transcription	RNA processing
TIGR00113	Protein synthesis	tRNA and rRNA base modification
TIGR02168	Cellular processes	Cell division
TIGR00842	Transport and binding proteins	Other
TIGR00262	Amino acid biosynthesis	Aromatic amino acid family
TIGR01718	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR00955	Transport and binding proteins	Other
TIGR00447	Protein synthesis	Other
TIGR00316	Energy metabolism	Chemoautotrophy
TIGR01708	Protein fate	Protein and peptide secretion and trafficking
TIGR00092	Unknown function	General
TIGR02000	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00080	Protein fate	Protein modification and repair
TIGR01843	Protein fate	Protein and peptide secretion and trafficking
TIGR02711	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03697	Regulatory functions	DNA interactions
TIGR00358	Transcription	Degradation of RNA
TIGR00632	DNA metabolism	DNA replication, recombination, and repair
TIGR01479	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR04563	Unknown	Unknown
TIGR01144	Energy metabolism	ATP-proton motive force interconversion
TIGR02623	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR04418	DNA metabolism	DNA replication, recombination, and repair
TIGR00921	Transport and binding proteins	Unknown substrate
TIGR01650	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00956	Transport and binding proteins	Other
TIGR01441	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03365	Protein synthesis	tRNA and rRNA base modification
TIGR02242	Mobile and extrachromosomal element functions	Prophage functions
TIGR02384	Cellular processes	Toxin production and resistance
TIGR03311	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR01469	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01951	Transcription	Transcription factors
TIGR00184	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR02528	Energy metabolism	Amino acids and amines
TIGR00170	Amino acid biosynthesis	Pyruvate family
TIGR04449	Cellular processes	Toxin production and resistance
TIGR00403	Energy metabolism	Electron transport
TIGR00341	Hypothetical proteins	Conserved
TIGR00477	Cellular processes	Toxin production and resistance
TIGR01254	Transport and binding proteins	Other
TIGR03341	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
